channel,watch_time_minutes,stream_time_minutes,peak_viewers,average_viewers,followers,followers_gained,views_gained,partnered,mature,language,tier,engagement_rate,viewer_retention,growth_rate,watch_efficiency,views_per_follower,quality_score,is_mega,is_top_quartile
lilypichu,477949200,56280,33075,8407,1363222,657630,14729189,True,False,English,Mega,0.006167007281279204,0.2541798941798942,11.68496801705757,8492.34541577825,10.804688451330744,0.15449369275064792,1,1
mistermv,476597370,71655,39961,6627,479900,150486,12959273,True,True,French,Elite,0.013809126901437799,0.16583669077350416,2.1001465354825206,6651.278626753192,27.004111273181913,0.09535212011770368,0,0
Bonjwa,473157810,251250,11063,1802,123954,20250,14247514,True,False,German,Elite,0.014537651064104425,0.16288529332007592,0.08059701492537313,1883.2151641791045,114.94194620585056,0.09073813772164456,0,0
KingGeorge,472786395,160140,12621,2914,767727,250434,6445996,True,False,English,Large,0.0037956200576507015,0.2308850328817051,1.563844136380667,2952.331678531285,8.396208548090662,0.12371032451335166,0,1
KingRichard,472405995,137175,17327,3312,1536757,109795,9570639,True,False,English,Mega,0.0021551878403677353,0.1911467651641946,0.8004009476945507,3443.8199015855657,6.227815458136843,0.100476832844691,1,1
melharucos,468792120,130275,13825,3519,328473,59167,17845821,True,True,Russian,Elite,0.010713209304874374,0.2545388788426763,0.454170024947227,3598.4810592976396,54.32964353234512,0.13799058222073193,0,0
INSCOPE21TV,468467130,59925,51244,7554,658658,491663,10630158,True,True,German,Large,0.011468774386707518,0.14741237998594958,8.204639132248644,7817.557446808511,16.13911620294599,0.09472100537618856,0,1
JohnPitterTV,461605275,508965,4148,900,286184,211365,19054606,True,False,Portuguese,Elite,0.0031448298996449835,0.21697203471552556,0.41528395862190914,906.948955232678,66.58166074972745,0.11403947125412511,0,0
Zizaran,460519830,156195,20745,2552,267004,47149,16917944,True,False,English,Elite,0.009557909244805322,0.1230175946011087,0.3018598546688434,2948.3647363872083,63.36213689682552,0.06736192369087234,0,0
imls,460332570,78945,32758,5621,392024,177673,8610645,True,False,English,Elite,0.014338407852580455,0.17159167226326394,2.2505921844321994,5831.0541516245485,21.96458635185601,0.09893710727392345,0,0
TSM_ImperialHal,459076530,120975,23107,3550,302593,287810,8907366,True,False,English,Elite,0.011731930348686189,0.15363309819535206,2.379086588138045,3794.804959702418,29.43678802880437,0.08826614896748079,0,0
악어 (jdm2088),458883255,32625,65622,15405,276488,132821,5377506,True,False,Korean,Elite,0.055716703799079885,0.23475358873548505,4.071141762452108,14065.38712643678,19.449328723127223,0.15717034851159853,0,0
Ramee,457242510,159825,10845,2825,132642,74094,6606894,True,False,English,Elite,0.02129792976583586,0.260488704472107,0.46359455654622245,2860.894791177851,49.809969692857464,0.14669760479930555,0,0
Towelliee,453487500,183090,15495,2392,705098,21398,17009119,True,False,English,Large,0.003392436228722816,0.15437237818651178,0.11687148396963243,2476.85564476487,24.12305665311772,0.08045602531333115,0,1
SPYGEA,452479680,143730,17228,3131,222046,92067,10569192,True,False,Japanese,Elite,0.014100681840699675,0.1817390294868818,0.6405552076810687,3148.122730118973,47.599110094304784,0.10146152115143332,0,0
FollowGrubby,451910415,132015,15296,3365,430649,46282,12249560,True,False,English,Elite,0.007813788026908224,0.21999215481171547,0.3505813733287884,3423.174752868992,28.444417611558368,0.11797310417571061,0,0
Amar,449223195,100800,45549,4207,604374,281928,11787544,True,False,German,Large,0.006960921548577537,0.09236207161518364,2.796904761904762,4456.5793154761905,19.503724514952662,0.053979385848792694,0,0
mch_AGG,443328990,499575,11191,884,219431,124548,11142208,True,True,Portuguese,Elite,0.004028601245949752,0.07899204718077026,0.24930791172496622,887.4122804383726,50.777729673564814,0.041027828508966864,0,0
IWillDominate,442870530,93480,23813,4591,797244,79514,8695968,True,False,English,Large,0.005758588336820346,0.19279385209759375,0.8505990586221651,4737.596598202824,10.907536463115433,0.10332004999229986,0,1
Nadeshot,440331540,50175,40327,7985,1472104,428800,7844647,True,True,English,Mega,0.005424209159135496,0.19800629850968335,8.546088689586448,8775.915097159941,5.328867389803981,0.11897772885672163,1,1
buddha,438460680,135090,11971,3184,247303,24901,6326808,True,True,English,Elite,0.01287489436035956,0.26597610892991397,0.18432896587460212,3245.6930934932266,25.58322381855457,0.1447296650428016,0,0
Deadlyslob,438143850,119085,104568,3088,315637,130944,6321235,True,False,English,Elite,0.0097833904136714,0.029531022875066943,1.0995843305202166,3679.253054540874,20.02691382822673,0.019244172401871956,0,0
懶貓 (failverde),437353350,184845,14610,2348,169973,29861,13001718,True,False,Chinese,Elite,0.01381395868755626,0.16071184120465434,0.1615461602964646,2366.0545321756067,76.49284298094403,0.08934425119845218,0,0
嬌兔 (zrush),436243530,137910,10628,3084,180412,49296,13297850,True,True,Chinese,Elite,0.017094206593796422,0.29017689123071133,0.35745051120295845,3163.247987818142,73.70823448551094,0.16006736814483116,0,0
HoneyMad,434971635,67995,21369,6394,533250,74407,14755893,True,True,Russian,Large,0.011990623534927332,0.2992184940802097,1.094301051547908,6397.112067063755,27.67162306610408,0.16344600610370538,0,0
ESAMarathon,433329345,301395,22132,1460,244440,35038,32500708,True,False,English,Elite,0.005972835869743086,0.0659678293873125,0.11625275800859337,1437.7456328074454,132.95985927016855,0.0349098210772822,0,0
Nmplol,429213420,63870,24687,6767,455444,130564,8859183,True,False,English,Elite,0.014858028648966723,0.27411188074695186,2.044214811335525,6720.109910756223,19.451750379849113,0.15324056214453227,0,0
relaxing234,428279160,51180,19194,8405,258402,88247,12225523,True,False,Chinese,Elite,0.03252683802756945,0.43789725956027925,1.7242477530285267,8368.09613130129,47.312029318658524,0.24881702053628343,0,0
Doigby,428267280,59655,93577,6829,1068260,611786,11805401,True,False,French,Mega,0.0063926384962462324,0.07297733417399575,10.255401894225129,7179.0676389238115,11.051055922715443,0.05606466276872398,1,1
Sequisha,426325350,163530,19755,2540,252495,86220,7404102,True,True,English,Elite,0.010059605140695855,0.12857504429258415,0.527242707760044,2607.0161438268206,29.32375690607735,0.07095495430901612,0,0
HusKerrs,425044665,107610,39433,3247,361360,288952,6298662,True,False,English,Elite,0.008985499225149435,0.08234220069484949,2.6851779574388996,3949.8621410649566,17.43043502324552,0.04953327403721988,0,0
얍얍 (yapyap30),422278350,46800,36933,9306,301033,26768,9798569,True,False,Korean,Elite,0.030913554327930824,0.2519697831207863,0.571965811965812,9023.041666666666,32.54981679749396,0.14739089719165013,0,0
Elwind,421436625,58965,18270,7165,703464,200170,14369324,True,False,Turkish,Large,0.010185311544016466,0.3921729611384784,3.3947256847282286,7147.233528364284,20.42652360319789,0.21571629357574137,0,1
Shiphtur,420316860,118410,19688,3414,709343,58604,7906425,True,False,English,Large,0.004812904335420241,0.17340511986997156,0.49492441516763785,3549.6736762097794,11.146123948498822,0.09193675553834628,0,1
BarbarousKing,419187600,188895,13419,2244,159402,42931,4822422,True,True,English,Elite,0.014077615086385366,0.1672255756762799,0.22727441171020937,2219.156674342889,30.25320886814469,0.09304896510518158,0,0
alexelcapo,418413015,72930,74670,5772,680023,211908,13364167,True,False,Spanish,Large,0.008487948201752,0.07730012053033347,2.9056355409296586,5737.186548745372,19.652522047048407,0.04697286387085126,0,1
moistcr1tikal,415091820,103170,42135,3977,1166681,724159,7780736,True,False,English,Mega,0.0034088152631267673,0.09438708911831019,7.019085005331007,4023.3771445187554,6.669120350807119,0.060365719431434504,1,1
Rush,412717875,86265,15405,4731,542991,120906,7575905,True,False,English,Large,0.008712851594225319,0.3071080817916261,1.401564945226917,4784.302729960007,13.952174161266024,0.16643882545171784,0,0
LosPollosTV,411900525,69900,54323,5671,476096,138468,6201733,True,False,English,Elite,0.011911463234305687,0.10439408721904166,1.9809442060085838,5892.711373390558,13.026223702782632,0.06156495532689287,0,0
DreamLeague,411414600,244560,147514,1751,349054,61032,7424007,True,False,English,Elite,0.005016415798128657,0.011870059790935097,0.249558390578999,1682.264474975466,21.26893546557266,0.005939717743267017,0,0
Voyboy,411274050,80670,21187,4632,1251182,139443,8151140,True,False,English,Mega,0.003702099294906736,0.2186246283098126,1.728560803272592,5098.227965786537,6.514751650838966,0.11743755139565974,1,1
BastiGHG,410621295,144135,10455,2733,507730,236118,8093220,True,False,German,Large,0.005382782187383058,0.26140602582496414,1.6381725465709231,2848.8659589967738,15.940007484292833,0.14085645329730564,0,0
DatModz,409985220,228615,14288,1753,270720,36757,9812812,True,False,English,Elite,0.006475325059101655,0.12269036954087346,0.16078122607877873,1793.3434813988583,36.24708924349882,0.06533685198526766,0,0
dafran,408885990,92565,19611,4319,599036,142689,7944645,True,False,English,Large,0.007209917267075768,0.22023354239967366,1.5415005671690163,4417.285042942797,13.26238322905468,0.11980765394898955,0,0
yeTz,408478725,87990,21212,4221,849972,281059,10731565,True,False,Portuguese,Large,0.004966045940336858,0.19899113709221194,3.1942152517331515,4642.331230821685,12.625786496496355,0.1101726397613496,0,1
Aurateur,407829960,163815,15547,2492,142427,26782,4368785,True,True,English,Elite,0.017496682511040744,0.16028815848716793,0.1634893019564753,2489.5764124164452,30.673853974316668,0.0910485602612895,0,0
pokelawls,407214675,118335,22496,3352,668807,182123,5999354,True,False,English,Large,0.005011909265303743,0.14900426742532005,1.5390459289305785,3441.2023070097603,8.97023206993946,0.08087030945271742,0,1
ziGueira,407188275,117555,36519,3203,529814,212042,7967420,True,False,Portuguese,Large,0.006045517860985176,0.08770776855883239,1.8037684488111947,3463.8107694270766,15.038145462369814,0.04934538988761425,0,0
A_Seagull,407156655,95160,28779,4193,1028544,55228,7374161,True,True,English,Mega,0.004076636488084127,0.1456965148198339,0.580369903320723,4278.653373266078,7.169514381494618,0.07699872215525902,1,1
koil,403848390,145035,13421,2791,299033,50231,7743238,True,True,English,Elite,0.009333418050850575,0.20795767826540495,0.3463370910469887,2784.4891922639363,25.894259162032284,0.11237680733691835,0,0
PAGO3,402836460,156135,20284,2326,425072,150470,12693893,True,False,Polish,Elite,0.005472014152896451,0.11467166239400513,0.9637172959298044,2580.0522624651744,29.862924398690105,0.06192210670317939,0,0
Llobeti4,402468465,112545,37469,3410,648084,606080,9957496,True,False,Spanish,Large,0.00526166361150715,0.09100856708212123,5.385223688302457,3576.0670398507264,15.364514476518476,0.056768024078379865,0,1
殺梗 (xargon0731),401439255,155325,8406,2549,283232,16999,17013239,True,False,Chinese,Elite,0.008999689300643996,0.3032357839638354,0.10944149364236279,2584.5115403186865,60.06820910066659,0.16234061275204179,0,0
itsHafu,400822020,123375,34345,3276,787371,36756,10008765,True,False,English,Large,0.004160681559264946,0.09538506332799535,0.2979209726443769,3248.810699088146,12.71162514240428,0.04987517380175427,0,1
shongxbong,400635750,50310,94869,7656,845158,671127,4198232,True,False,Arabic,Large,0.009058661220742156,0.0807007557790216,13.339833035181872,7963.342277877162,4.967393079163896,0.06679329846461159,0,1
StaysafeTV,399746130,135180,15608,2876,149648,73218,7427189,True,True,English,Elite,0.019218432588474287,0.1842644797539723,0.5416333777185974,2957.1395916555703,49.631060889554156,0.10530932836541451,0,0
Loeya,398289900,150495,7955,2635,1233300,337821,19024045,True,False,English,Mega,0.0021365442309251603,0.3312382149591452,2.2447323831356525,2646.5324429383036,15.425318251844644,0.17723164853351084,1,1
RiotGamesJP,390922410,26325,60682,13675,141684,36105,9101692,True,False,Japanese,Elite,0.09651760255215833,0.22535513002208232,1.3715099715099714,14849.854131054131,64.23937777024929,0.16893613134132432,0,0
btssmash,389890800,362970,94083,1061,216558,81658,6933788,True,False,English,Elite,0.0048993803045835295,0.011277276447392195,0.22497176075157727,1074.1681130671957,32.01815679864055,0.0055223240797131175,0,0
PietSmiet,387717165,84495,39004,4147,576903,122061,11483357,True,False,German,Large,0.007188383489078754,0.10632242846887499,1.4445943546955442,4588.640333747559,19.905178166866875,0.05920731276443119,0,0
Payo,385755615,137400,12274,2772,175503,112595,11672019,True,False,English,Elite,0.015794601801678604,0.22584324588561186,0.8194687045123726,2807.537227074236,66.50609391292457,0.1260463349905193,0,0
Shotz,385739280,153105,10316,2523,159763,48388,5464553,True,True,English,Elite,0.01579214211050118,0.24457153935633966,0.31604454459357956,2519.442735377682,34.20412110438587,0.13512467838694545,0,0
실프_ (silphtv),385176540,197055,9401,1891,309065,87400,7215989,True,False,Korean,Elite,0.0061184540468833416,0.20114881395596212,0.443530993884956,1954.6651442490675,23.347803860029444,0.10724891152080986,0,0
m0xyy,384746505,136095,25387,2431,461534,269311,6207063,True,False,English,Elite,0.005267217583103304,0.09575767124906448,1.978845659282119,2827.0436459825855,13.44876650474288,0.05350579749026075,0,0
LexVeldhuis,380251830,73935,58416,4939,244467,66680,14339774,True,False,English,Elite,0.020203135801560128,0.08454875376609149,0.9018732670589031,5143.055792249949,58.657299349196414,0.05354142596872022,0,0
NateHill,379971075,111555,41610,3311,1055613,449635,14221498,True,False,English,Mega,0.003136566146873902,0.07957221821677482,4.030612702254493,3406.1321769530723,13.472264930424313,0.04729008833391391,1,1
Shaunz,379800060,97860,20861,3791,148568,84393,10605782,True,False,French,Elite,0.02551693500619245,0.18172666698624226,0.862385039852851,3881.0551808706314,71.3867185396586,0.10780138429535642,0,0
Emongg,379682235,155910,21922,2228,504653,156093,5794763,True,False,English,Large,0.004414914802844727,0.10163306267676307,1.0011737540888974,2435.2654416009236,11.482668288903465,0.05451656897647505,0,0
fl0m,379633995,188070,19318,1931,658323,183265,11489901,True,False,English,Large,0.002933210597229627,0.09995858784553266,0.9744510022863827,2018.5781623863454,17.453288127560484,0.052808154772396754,0,1
AsmodaiTV,379345935,132360,11751,2796,247056,30588,6547592,True,False,English,Elite,0.011317272197396542,0.23793719683431197,0.23109700815956483,2866.0164324569355,26.502460980506445,0.12912124283070858,0,0
Homyatol,378734925,70725,26274,4826,375749,249186,6981248,True,True,Italian,Elite,0.012843680222701857,0.18367968333713938,3.5233085896076353,5355.03605514316,18.579551775254224,0.10672879305807037,0,0
Grimmmz,377312595,176580,21993,2153,1001739,37734,7803917,True,True,English,Mega,0.0021492624326296572,0.09789478470422407,0.21369351002378525,2136.779901461094,7.7903695473571455,0.050011636431968425,1,1
aXtLOL,376430955,73815,25340,4991,763886,193266,8969210,True,False,Portuguese,Large,0.006533697436528488,0.19696132596685084,2.6182483235114815,5099.653932127616,11.741555677156015,0.10893763000318903,0,1
boyMinORu,376358805,142830,22141,2717,367223,73551,17822170,True,True,Thai,Elite,0.007398774041930925,0.12271351790795357,0.5149548414198698,2635.0122873345936,48.53228147474423,0.06643343269284598,0,0
just_ns,376209315,93615,37023,3969,341549,66811,12351240,True,False,Russian,Elite,0.011620587382776703,0.10720363017583664,0.7136783635101213,4018.686268226246,36.162424717976045,0.0607512619990466,0,0
BurkeBlack,372767025,171675,4922,2154,276421,13471,5367772,True,True,English,Elite,0.007792461498945449,0.4376269809020723,0.07846803553225572,2171.352992573176,19.41882852605265,0.23294499290837198,0,0
Trick2g,371417130,132945,28917,2650,1476226,115863,8688676,True,True,English,Mega,0.0017951180916743101,0.09164159490956876,0.8715107751325736,2793.7653164842604,5.885735652942029,0.04762645129485057,1,1
FORMAL,369971310,137190,16518,2391,512592,176173,4803076,True,False,English,Large,0.004664528513905797,0.14475118053033054,1.2841533639478095,2696.7804504701508,9.370173549333582,0.07799976625555217,0,0
Fortnite,369166335,12030,169084,28584,3558217,1163448,21509520,True,False,English,Ultra,0.008033236871163281,0.16905206879420878,96.71221945137157,30687.143391521196,6.045027607928353,0.2546964725405711,1,1
Magic,362552205,43350,114234,5123,365714,50355,18694298,True,False,Spanish,Elite,0.014008214068917241,0.04484654306073498,1.16159169550173,8363.372664359862,51.11726102911018,0.029682859935486566,0,0
Xari,361741665,80535,28830,4841,269447,147894,5746209,True,False,French,Elite,0.017966427534914103,0.16791536593825876,1.836394114360216,4491.732352393369,21.32593422825268,0.09818080391904892,0,0
RocketBeansTV,360858030,518415,5223,696,416018,27024,5973152,True,False,German,Elite,0.001673004533457687,0.13325674899483056,0.05212812129278667,696.0794537195104,14.357917205505531,0.06824611314826286,0,0
ANGRYPUG,360278835,184845,9822,1892,366463,48331,4962556,True,True,English,Elite,0.005162867738352849,0.1926287925066178,0.2614677161946496,1949.0861803132354,13.541765471548286,0.10192058879797095,0,0
MarcaoRX,359273445,336690,5210,1258,166594,65904,4541683,True,True,Portuguese,Elite,0.007551292363470473,0.24145873320537428,0.19574088924529984,1067.0748908491491,27.261984225122152,0.12895992662852285,0,0
yamatonjp,359095725,159420,8247,2269,179920,67794,10882318,True,False,Japanese,Elite,0.012611160515784793,0.2751303504304596,0.4252540459164471,2252.5136432066242,60.48420409070698,0.1498567626449587,0,0
btscsgo,357966315,57165,74949,6530,219539,166599,9173781,True,False,English,Elite,0.029744145687098874,0.08712591228702184,2.914353188139596,6261.98399370244,41.78656639594787,0.06331498579103077,0,0
Skyyart,356907810,111165,32577,2311,598579,239491,8203617,True,False,French,Large,0.003860810352518214,0.07093961997728458,2.1543741285476545,3210.6131426258266,13.705153371568331,0.03990360990637878,0,0
gratis150ml,356697420,198075,9601,1801,741652,129328,12187175,True,False,Portuguese,Large,0.002428362628294672,0.1875846266013957,0.6529243973242459,1800.819992427111,16.432471024146096,0.09847970476386954,0,1
ShivFPS,355389630,203175,7216,1782,236407,174213,6900666,True,False,English,Elite,0.007537847864064939,0.24695121951219512,0.857452934662237,1749.1799187892211,29.189770184470003,0.13299004500762154,0,0
Ponce,355091505,111360,23255,3043,242969,196880,13687141,True,False,French,Elite,0.0125242314863213,0.13085357987529564,1.7679597701149425,3188.680899784483,56.33286962534315,0.07555924149174861,0,0
Distortion2,354144315,170220,11495,1953,314170,44982,5500067,True,True,English,Elite,0.006216379667059235,0.16989995650282733,0.26425801903419105,2080.5094289742688,17.506658815291086,0.09041963863430492,0,0
boxbox,353396640,117720,25314,2717,1717150,145809,9971842,True,False,English,Mega,0.0015822729522755729,0.10733191119538595,1.2386085626911314,3002.0101936799183,5.80720496170981,0.056461493409186346,1,1
강지 (rkdwl12),353381040,141450,29993,2484,507418,270927,12873339,True,False,Korean,Large,0.0048953722571922955,0.0828193245090521,1.915355249204666,2498.2752916224813,25.370284459755073,0.04634035318392007,0,0
TheKAIRI78,353046060,50310,47081,6795,885915,650990,5134322,True,False,French,Large,0.007670036064407985,0.14432573649667593,12.939574637249056,7017.413237924866,5.795501825795928,0.09913757422995824,0,1
RiotGamesRU,352700745,17880,73049,19753,173861,75538,6832561,True,False,Russian,Elite,0.11361374891436263,0.2704075346685102,4.224720357941835,19725.99244966443,39.298985971551986,0.20661915267652955,0,0
FPSThailand,351025410,158640,38563,2260,390579,74894,18596656,True,False,Thai,Elite,0.005786281392496781,0.05860539895754998,0.4721003530005043,2212.7169062027233,47.61304627232903,0.031511101696306325,0,0
김나성 (naseongkim),350120640,215505,7628,1584,103260,20536,8471746,True,False,Korean,Elite,0.015339918651946543,0.2076560041950708,0.09529245261130832,1624.6520498364307,82.04286267673832,0.11493138120278207,0,0
오킹 (obm1025),346276365,96000,19328,3563,428179,244442,8920133,True,False,Korean,Elite,0.00832128619105561,0.1843439569536424,2.5462708333333333,3607.04546875,20.832719493482866,0.1030572391710304,0,0
singsing,346171920,126795,11839,2735,572005,45761,6526670,True,True,English,Large,0.004781426735780281,0.2310161331193513,0.36090539847785796,2730.170117118183,11.410162498579558,0.1222526721749848,0,0
BlackUFA,345166455,88035,10349,3889,279922,34803,12888906,True,False,Russian,Elite,0.013893155950586236,0.37578510000966275,0.3953314022831828,3920.7866757539614,46.04463386229021,0.20386897077519048,0,0
QuattroAce,342273825,185715,48810,1696,157620,136490,7245324,True,False,Russian,Elite,0.010760055830478366,0.03474697807826265,0.7349433271410495,1843.0058153622485,45.96703464027408,0.021902516242259567,0,0
bateson87,342162660,98730,20204,3344,598678,254821,16648694,True,False,English,Large,0.005585640360928579,0.16551177984557514,2.5809885546439784,3465.6402309328473,27.809096041611685,0.0916960906456623,0,0
Staiy,341874270,91545,15429,3711,259624,90591,5503882,True,False,German,Elite,0.014293747881551782,0.24052109663620455,0.9895788956251024,3734.494183188596,21.19943456691215,0.13333629060631216,0,0
polsatgames,340417455,57870,66706,5695,141026,74586,16290334,True,False,Polish,Elite,0.04038262448059223,0.08537462896890835,1.2888543286677034,5882.451270088129,115.51298342149674,0.06518880699850448,0,0
NymN,340095510,100125,23488,3402,241746,111122,4409296,True,True,English,Elite,0.01407262167729766,0.1448399182561308,1.109832709113608,3396.709213483146,18.23937521199937,0.08267046440534624,0,0
orangemorange,338213940,122835,18387,2653,261139,85861,9889442,True,False,German,Elite,0.010159340427894722,0.14428672431609288,0.6989945862335654,2753.40041519111,37.870413840904654,0.0796330686872819,0,0
MinosTV_,338084550,167190,24576,2034,204605,192534,5554989,True,True,French,Elite,0.009941106033576893,0.082763671875,1.1515880136371792,2022.1577247443029,27.149820385621076,0.047652385121103306,0,0
NairoMK,335695215,106200,22074,3054,339545,69474,6132895,True,False,English,Elite,0.008994389550722291,0.13835281326447404,0.654180790960452,3160.9718926553674,18.062097807359848,0.07580013763885761,0,0
철면수심 (109ace),335311860,145425,12180,2202,166726,35165,7631326,True,False,Korean,Elite,0.013207298201840145,0.1807881773399015,0.2418084923500086,2305.7373904074266,45.771661288581264,0.0998128697741052,0,0
UnknownxArmy,333869670,92250,41700,3735,850944,836664,11325781,True,False,English,Large,0.004389243005415162,0.08956834532374101,9.069528455284553,3619.183414634146,13.309666676067991,0.06180410262031046,0,1
s1mple,333097410,24615,34971,12723,1681884,740732,20277843,True,False,English,Mega,0.007564730980257854,0.36381573303594406,30.09270769855779,13532.293723339428,12.056624000228316,0.24463912577553018,1,1
bysTaXx,331965075,48945,259210,6210,1093212,795296,10207313,True,False,Spanish,Mega,0.005680508446669082,0.023957409050576754,16.24876902645827,6782.410358565737,9.33699319070775,0.03986672608918909,1,1
Sjow,331726155,149700,8140,2189,240206,21662,3365340,True,False,English,Elite,0.009113011331940086,0.2689189189189189,0.14470273881095524,2215.9395791583165,14.010224557255023,0.14425625281193555,0,0
hardgamechannel,331308960,55125,27529,5711,786562,256678,10562872,True,False,Russian,Large,0.007260711806570874,0.20745395764466562,4.656290249433106,6010.139863945578,13.429166422990178,0.1183444102387684,0,1
scoped,330160515,63360,47343,5165,731808,728892,8279834,True,True,English,Large,0.007057862171498535,0.10909743784720022,11.503977272727273,5210.866714015152,11.314216297170843,0.0776927299111627,0,1
VooDooSh,329448660,137670,7560,2519,85678,66129,9003037,True,True,Russian,Elite,0.029400779663390834,0.3332010582010582,0.4803443015907605,2393.031597297886,105.07991549756063,0.1895336608871743,0,0
WELOVEGAMES,328935150,116520,27956,2761,413458,49713,23682775,True,False,Russian,Elite,0.00667782459161511,0.0987623408212906,0.42664778578784757,2822.9930484037077,57.27975997562026,0.05320150354840154,0,0
StereOnline,327697680,400770,4227,785,327645,91352,4620985,True,False,Portuguese,Elite,0.0023958857910238215,0.18571090607996216,0.22794121316465804,817.670184894079,14.103633505776068,0.09674714464527923,0,0
keanelol,327242790,147255,7208,2176,162917,85035,4068823,True,False,English,Elite,0.013356494411264632,0.3018867924528302,0.5774676581440359,2222.2864418865233,24.974821534892,0.16469802339868567,0,0
살인마협회장 (sal_gu),326488155,122925,16252,2663,164092,45255,6226900,True,False,Korean,Elite,0.01622870097262511,0.16385675609155798,0.36815131177547283,2655.994752898109,37.94761475269971,0.09262602029215987,0,0
sips_,325731015,108990,7872,2984,430755,84034,4331397,True,True,English,Elite,0.006927371707815348,0.3790650406504065,0.7710248646664831,2988.632122213047,10.055360936030922,0.20260426786742206,0,0
ESL_CSGOb,325637220,52530,89949,5114,575769,183662,13742820,True,False,English,Large,0.008882034288056494,0.056854439738073796,3.4963259090043786,6199.071387778412,23.868634817088104,0.03733649938100648,0,0
kyo1984123,325018110,204975,5967,1516,135687,12731,12070678,True,False,Chinese,Elite,0.011172772631128996,0.25406401876990115,0.062110013416270274,1585.6475667764362,88.95972348124728,0.1373132539094287,0,0
midbeast,324433515,118005,16153,2652,330060,143256,10000927,True,False,English,Elite,0.008034902744955462,0.16418002847768218,1.213982458370408,2749.3200711834243,30.300330242986124,0.08994912770081022,0,0
Alexby11,323225055,54810,53526,5331,1448018,1145810,8378248,True,False,Spanish,Mega,0.0036815840687063283,0.0995964577962112,20.905126801678527,5897.191297208538,5.786010947377726,0.08685131726629658,1,1
Tumblurr,322841490,81210,17165,3846,353687,236441,4008897,True,False,Italian,Elite,0.010874021380486137,0.22406058840664142,2.911476419160202,3975.390838566679,11.33458962302827,0.12608007111186592,0,0
Veritas,320121405,135150,103833,1595,182492,131913,4176079,True,False,English,Elite,0.008740109155469829,0.0153612050118941,0.9760488346281909,2368.637846836848,22.88362777546413,0.010972424451831797,0,0
daltoosh,319194420,154440,16445,2038,241602,163486,3665065,True,False,English,Elite,0.008435360634431835,0.1239282456673761,1.0585729085729085,2066.7859362859363,15.169845448299268,0.06854294422028229,0,0
ELoTRiX,319051995,56310,31194,5620,895851,318247,5587147,True,True,German,Large,0.006273364655506329,0.18016285183048023,5.65169596874445,5665.991742141716,6.236692262440964,0.10504173442745884,0,1
TSM_Viss,316437645,117795,18844,2668,762778,101135,7091125,True,False,English,Large,0.0034977411514228256,0.14158352791339418,0.8585678509274587,2686.3419075512543,9.296446672557416,0.07498666423706589,0,1
Anthony_Kongphan,316366395,163920,49085,1858,462128,44534,6805829,True,False,English,Elite,0.0040205311082643766,0.037852704492207394,0.27168130795510004,1930.0048499267937,14.72715135200637,0.019239100328092156,0,0
modestal,316203420,55455,25985,5660,323364,193939,11440074,True,False,Russian,Elite,0.017503494513922392,0.21781797190686936,3.497231989901722,5701.982147687314,35.378316695736075,0.12722996973188894,0,0
소풍왔니 (yumyumyu77),315613800,66315,24521,4496,309322,46911,13030325,True,False,Korean,Elite,0.014535015291508526,0.18335304432935035,0.7073965166251979,4759.312372766342,42.125438863061795,0.10265830235531108,0,0
XEWER,315398565,189315,17100,1660,455056,215059,6449741,True,False,French,Elite,0.003647902675714637,0.09707602339181287,1.1359849985473947,1665.9988115046351,14.173510512991808,0.05192711046212676,0,0
blxckoutz,314656260,152970,18483,2566,482061,402587,8381945,True,False,Portuguese,Elite,0.00532297779741568,0.13883027647026996,2.6318036216251555,2056.9801921945477,17.387726864442467,0.07749173698395512,0,0
EASPORTSFIFA,313078095,12165,106126,24395,1287954,427684,11286667,True,False,English,Mega,0.018940893851799055,0.2298682697925108,35.156925606247434,25735.97163995068,8.763253190719544,0.18813448053072077,1,1
ALOHADANCETV,312898725,70320,18317,4288,555334,92209,12461610,True,True,Russian,Large,0.007721479325955191,0.23409947043729867,1.3112770193401593,4449.640571672355,22.439847010987982,0.127039446508182,0,0
연두는말안드뤄 (rudbeckia7),311520135,126300,7111,2478,212053,24606,9675073,True,False,Korean,Elite,0.011685757805831561,0.34847419490929543,0.19482185273159144,2466.509382422803,45.625730359862864,0.18788704674854706,0,0
Flashpoint,311325840,19320,77708,11713,93616,93120,27828448,True,False,English,Elite,0.12511750128183216,0.1507309414732074,4.819875776397516,16114.173913043478,297.26166467270554,0.15016242200287477,0,0
Steelmage,311218875,178485,10815,1696,60987,37839,7005761,True,False,English,Elite,0.02780920524046108,0.1568192325473879,0.21200100848810824,1743.6696361038744,114.87302211946809,0.09468341181197383,0,0
RoyalPhunk,311093010,104565,12141,2934,204451,34597,4921311,True,True,German,Elite,0.014350626800553677,0.24166048925129727,0.3308659685363171,2975.116052216325,24.070858054008053,0.13285187955803138,0,0
Overpow,309892665,153015,10858,2004,254516,29344,9020762,True,True,Polish,Elite,0.007873768250326109,0.18456437649659238,0.1917720484919779,2025.2437015978826,35.44280909648116,0.09894201565002564,0,0
NeVeR_LosEs,309559170,82635,9671,3680,200953,23806,10608507,True,False,Chinese,Elite,0.01831273979487741,0.3805190776548444,0.2880861620378774,3746.1023779270286,52.790985951939014,0.20850908249952427,0,0
