channel,watch_time_minutes,stream_time_minutes,peak_viewers,average_viewers,followers,followers_gained,views_gained,partnered,mature,language,tier,engagement_rate,viewer_retention,growth_rate,watch_efficiency,views_per_follower,quality_score,is_mega,is_top_quartile
CSRuHub,540556545,110880,106003,5044,511431,121099,23271913,True,False,Russian,Large,0.009862522999192462,0.04758355895587861,1.0921626984126984,4875.149215367966,45.503524424604684,0.028848976833618326,0,0
CriticalRole,539495145,21300,110800,17689,571210,237069,7827030,True,False,English,Large,0.030967595105127713,0.15964801444043322,11.13,25328.410563380283,13.702543722974038,0.11637517577814423,0,0
Vinesauce,536989080,86790,19065,6125,442493,80616,5560969,True,True,English,Elite,0.013842026879521258,0.32126934172567534,0.9288627722087798,6187.22295195299,12.567360387621951,0.17583015072667565,0,0
울프 (lol_woolf),532969650,50910,73800,9633,308528,141297,9294132,True,False,Korean,Elite,0.031222449826271845,0.13052845528455284,2.775427224513848,10468.859752504419,30.12411191204688,0.0868751283764831,0,0
Mithrain,530456265,105540,40183,4990,1258713,371005,24222810,True,False,Turkish,Mega,0.003964366777811939,0.12418186795410995,3.515302255069168,5026.115832859579,19.24410886357732,0.07051125463612731,1,1
EWROON,526660590,101235,21341,5172,514693,232079,13289271,True,False,Polish,Large,0.010048708647679296,0.24235040532308702,2.2924778979601914,5202.356793599051,25.819801318455855,0.1342992858405384,0,0
ludwig,525883695,94575,60346,5368,542580,505089,8508355,True,False,English,Large,0.009893471930406576,0.08895370032810791,5.340618556701031,5560.493735130848,15.681291238158428,0.05802431439555058,0,0
RduLIVE,525737445,127380,11854,3953,234884,62490,7653194,True,False,English,Elite,0.016829583964850736,0.333473932849671,0.4905793688177108,4127.315473386717,32.582866436198294,0.18312211512862486,0,0
Hiko,523057245,79665,41644,5268,1001350,479830,11106951,True,False,English,Mega,0.005260897787986218,0.12650081644414563,6.023096717504551,6565.709470909434,11.091976831277774,0.0766777650078651,1,1
FENGRUSH,521568750,100605,16128,4985,95643,23288,44675247,True,False,English,Elite,0.05212090795980887,0.30908978174603174,0.2314795487301824,5184.322349783808,467.1041999937267,0.18820186911791104,0,0
