followers_gained,watch_time_minutes,peak_viewers,growth_rate,average_viewers,stream_time_minutes,mature,lang_French,lang_Korean,lang_Other,lang_Russian,lang_Spanish,true_label,predicted_label,predicted_proba,followers,channel,priority_score,priority_tier
520342,1659741015,168112,3.762415039768619,8481,138300,0,0,0,0,0,0,0,1,0.9916776944637528,616168,Pestily,99.16776944637527,High Priority
307853,1351758525,171861,8.28898761443188,36030,37140,0,0,0,0,0,0,0,1,0.9721118258931337,934688,LCK,97.21118258931337,High Priority
644684,516113670,109148,17.636000547120776,14509,36555,0,0,0,0,0,0,0,1,0.9651941283732004,999480,TwitchRivals,96.51941283732003,High Priority
763489,744620970,26141,6.463398941798942,6328,118125,1,0,0,0,0,0,0,1,0.9606283255762464,859439,aceu,96.06283255762465,High Priority
121422,1017577605,483530,19.22755344418052,147643,6315,0,0,0,0,0,0,0,1,0.9585300768452513,663297,dota2ti,95.85300768452512,High Priority
340810,1339344945,44649,1.7607460219053523,6543,193560,0,0,0,0,0,0,0,1,0.9002292911208043,470123,HasanAbi,90.02292911208043,High Priority
425023,554249955,46106,6.217877258430254,7155,68355,0,0,0,0,0,0,0,1,0.8533351816316731,505361,GMHikaru,85.33351816316731,High Priority
379973,1021699920,49379,2.5600336870473304,7134,148425,1,0,0,0,0,0,0,1,0.8453064878610586,728097,Trainwreckstv,84.53064878610586,High Priority
510063,155731920,21594,8.855260416666667,2690,57600,1,0,0,0,0,0,0,1,0.7287501559130696,972070,Sweet_Anita,72.87501559130696,High Priority
