feature,importance
followers_gained,0.22733496873617734
average_viewers,0.20613336209739735
watch_time_minutes,0.17585891701807962
peak_viewers,0.1419701213908258
growth_rate,0.14165951716873149
stream_time_minutes,0.06456645973755462
lang_Korean,0.010185495253383805
lang_Other,0.0075780351875581135
lang_French,0.007164909032407545
mature,0.006837912491613912
lang_Russian,0.006391680323642581
lang_Spanish,0.004318621562627943
