tier,followers_count,followers_mean,followers_median,followers_std,average_viewers_mean,average_viewers_median,engagement_rate_mean,engagement_rate_median,viewer_retention_mean,viewer_retention_median,growth_rate_mean,growth_rate_median,quality_score_mean,quality_score_median
Elite,663,229472.87028657616,214028.0,119539.20639643504,2653.6742081447965,1816.0,0.014732180187837186,0.010121243372601906,0.18156308243418642,0.16583669077350416,1.1517317864738132,0.5718464544062517,0.1025664294139844,0.09364880828268347
Large,204,689368.1372549019,667118.5,139392.07928162193,6964.2892156862745,4107.0,0.010467089891270704,0.005944558523374761,0.17244270137095744,0.1547020048943446,5.206159397738279,2.4186597000513546,0.10238296146937208,0.09237809338604172
Mega,111,1579077.6126126125,1448018.0,497726.8151313013,10165.162162162162,7985.0,0.006660300067175624,0.005260897787986218,0.16121879714810894,0.14508677609926612,11.029373232794146,5.126106259097526,0.1043268689846761,0.08992958885070688
Ultra,22,4636583.636363637,4094685.0,1529880.2880684596,21482.090909090908,23087.5,0.00483068978224413,0.004746795505444778,0.14255567140902597,0.15338373003130013,23.763116645233776,10.921030406542826,0.11509315979703683,0.10726996284192236
