Model,ROC-AUC,Optimal_Threshold,Precision,Recall,F1
Logistic Regression,0.9244273174909012,0.5995443288871548,0.625,0.7407407407407407,0.6779661016949152
Random Forest,0.8978805394990366,0.34184414631912824,0.525,0.7777777777777778,0.6268656716417911
Gradient Boosting,0.895846713765789,0.5849587358260355,0.5384615384615384,0.7777777777777778,0.6363636363636364
